Age,BusinessTravel,DailyRate,Deparment,DistanceFromHome,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolveMaleent,JobSatisfaction,MartialStatus,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisFemaleaction,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
31,Travel_Rarely,831,Sales,25,3,124,19840,15872,Sales Executive,16,Technical Degree,1,78-2973255,3,Female,3,1,Single,3,Yes,No,18,3,1,80,2,31,5,2,31,12,6,7,Yes
47,Non-Travel,956,Research & DevelopMaleent,8,4,62,9920,7936,Sales Executive,18,Medical,1,76-6888494,2,Female,4,3,Single,2,Yes,No,21,2,4,80,3,13,1,1,14,15,11,7,No
53,Travel_Femalerequently,600,Human Resources,34,5,65,10400,8320,MaleanuFemaleacturing Director,14,Other,1,70-7443501,3,Male,2,4,Married,2,Yes,No,22,1,4,80,2,33,5,4,14,2,1,11,No
58,Travel_Femalerequently,873,Human Resources,27,2,146,23360,18688,Research Director,16,Other,1,59-1754824,2,Male,3,3,Married,6,Yes,No,14,4,4,80,1,12,2,3,32,5,9,11,Yes
56,Travel_Rarely,767,Sales,3,5,146,23360,18688,Research Scientist,20,Technical Degree,1,29-3661955,3,Male,1,4,Married,7,Yes,No,23,4,4,80,3,16,2,3,20,8,13,17,No
33,Travel_Femalerequently,1437,Sales,22,4,129,20640,16512,Research Scientist,18,Technical Degree,1,43-5638225,1,Female,4,1,Married,5,Yes,No,22,4,3,80,3,24,6,4,21,9,14,0,No
37,Travel_Femalerequently,258,Sales,18,1,107,17120,13696,Laboratory Technician,18,Human Resources,1,65-8009060,1,Male,2,2,Single,0,Yes,No,10,2,2,80,0,0,5,2,23,1,15,17,No
57,Travel_Rarely,389,Human Resources,5,2,136,21760,17408,Manager,16,Sales,1,51-6530057,3,Female,3,3,Married,0,Yes,No,15,3,4,80,0,14,1,2,15,3,10,16,No
57,Travel_Femalerequently,872,Human Resources,16,1,52,8320,6656,Laboratory Technician,16,Life Sciences,1,22-5065691,4,Female,4,2,Single,1,Yes,No,25,4,3,80,1,2,1,4,20,18,11,4,No
30,Non-Travel,1146,Research & DevelopMaleent,1,3,79,12640,10112,Sales Representative,12,Life Sciences,1,86-2547232,3,Female,4,2,Married,3,Yes,No,14,2,4,80,2,21,3,4,28,4,15,2,No
47,Travel_Femalerequently,1147,Research & DevelopMaleent,34,1,102,16320,13056,Healthcare Representative,16,Human Resources,1,21-8184080,2,Male,2,1,Single,4,Yes,No,10,4,1,80,0,22,4,4,17,8,8,16,No
23,Travel_Rarely,1324,Sales,17,1,122,19520,15616,Sales Representative,16,Technical Degree,1,00-2343956,1,Female,2,2,Married,4,Yes,No,14,2,1,80,0,14,1,1,10,6,11,11,No
32,Travel_Femalerequently,995,Research & DevelopMaleent,24,1,59,9440,7552,Laboratory Technician,16,Human Resources,1,12-9431894,4,Female,2,3,Married,1,Yes,No,12,3,3,80,1,32,6,1,34,17,0,14,No
25,Non-Travel,1300,Research & DevelopMaleent,26,1,139,22240,17792,Laboratory Technician,18,Sales,1,76-5659336,2,Female,2,3,Single,7,Yes,No,25,1,1,80,1,34,1,1,5,2,14,10,No
45,Travel_Femalerequently,371,Sales,15,5,112,17920,14336,Sales Executive,14,Medical,1,88-2052961,2,Female,2,1,Single,3,Yes,No,13,3,4,80,3,26,4,2,6,11,0,14,Yes
51,Non-Travel,579,Sales,47,3,38,6080,4864,Sales Representative,12,Medical,1,27-6839093,2,Female,3,4,Single,0,Yes,No,23,3,4,80,2,2,6,1,17,17,13,8,Yes
39,Travel_Femalerequently,1294,Human Resources,30,2,73,11680,9344,Manager,14,Sales,1,92-2382281,2,Male,4,3,Single,8,Yes,No,21,4,4,80,1,13,0,1,21,12,12,2,No
20,Travel_Rarely,737,Research & DevelopMaleent,44,5,130,20800,16640,Sales Executive,16,Medical,1,47-2700671,4,Male,3,4,Single,6,Yes,No,24,2,2,80,3,31,3,4,40,10,10,1,No
25,Travel_Femalerequently,319,Human Resources,29,3,116,18560,14848,MaleanuFemaleacturing Director,16,Medical,1,92-9938967,2,Female,3,4,Married,2,Yes,No,24,1,3,80,2,30,4,1,37,13,7,8,No
25,Travel_Rarely,1110,Sales,16,5,36,5760,4608,MaleanuFemaleacturing Director,14,Life Sciences,1,97-5048896,2,Male,1,3,Married,5,Yes,No,22,2,3,80,3,14,6,1,18,16,6,7,Yes
58,Travel_Rarely,1479,Research & DevelopMaleent,43,5,43,6880,5504,Sales Executive,18,Medical,1,44-7261333,4,Female,1,2,Single,1,Yes,No,10,3,2,80,2,12,0,4,13,5,4,8,No
38,Travel_Rarely,1024,Sales,30,2,63,10080,8064,Research Scientist,20,Sales,1,49-5225842,3,Male,2,1,Single,0,Yes,No,14,4,4,80,0,40,0,1,1,7,14,7,No
45,Travel_Rarely,636,Sales,49,2,61,9760,7808,Manager,16,Other,1,18-4189444,1,Female,3,3,Single,6,Yes,No,17,3,1,80,0,13,1,1,28,5,3,1,No
57,Travel_Rarely,1226,Research & DevelopMaleent,11,3,145,23200,18560,Research Scientist,18,Medical,1,15-0998045,3,Female,4,4,Married,2,Yes,No,13,3,1,80,2,6,4,4,38,0,11,7,Yes
21,Travel_Rarely,723,Sales,14,2,56,8960,7168,Healthcare Representative,16,Medical,1,26-0027856,4,Male,2,4,Single,6,Yes,No,10,3,1,80,1,12,0,1,8,4,6,13,No
42,Non-Travel,1240,Human Resources,34,3,69,11040,8832,Sales Executive,18,Medical,1,60-8573618,3,Female,3,2,Married,5,Yes,No,25,2,2,80,1,22,5,1,3,8,4,5,Yes
34,Travel_Rarely,924,Research & DevelopMaleent,2,1,66,10560,8448,Laboratory Technician,14,Other,1,17-0209137,4,Male,4,4,Married,8,Yes,No,22,3,2,80,0,21,5,2,27,16,2,1,No
36,Travel_Rarely,284,Research & DevelopMaleent,33,1,35,5600,4480,Laboratory Technician,14,Sales,1,10-6603509,3,Female,3,1,Married,3,Yes,No,20,4,2,80,1,25,2,4,3,7,15,15,Yes
20,Travel_Femalerequently,969,Sales,22,5,63,10080,8064,Research Director,20,Other,1,32-0767472,3,Female,1,1,Single,4,Yes,No,17,3,4,80,3,2,2,2,13,14,4,5,No
46,Travel_Femalerequently,823,Sales,8,4,126,20160,16128,Sales Executive,14,Technical Degree,1,23-6594987,1,Female,3,2,Married,1,Yes,No,22,1,2,80,3,36,3,1,38,7,2,15,Yes
48,Non-Travel,339,Research & DevelopMaleent,46,3,96,15360,12288,Sales Representative,16,Medical,1,99-7767176,1,Female,3,4,Single,7,Yes,No,25,1,1,80,1,19,6,4,21,13,15,8,Yes
48,Travel_Rarely,1467,Research & DevelopMaleent,39,2,45,7200,5760,Sales Representative,16,Human Resources,1,54-5383442,2,Female,1,3,Married,7,Yes,No,24,1,2,80,0,3,5,4,21,14,10,9,Yes
40,Travel_Femalerequently,1053,Sales,35,2,116,18560,14848,Manager,18,Other,1,54-2112419,2,Female,1,1,Single,6,Yes,No,12,2,3,80,0,14,2,4,1,18,5,4,No
19,Travel_Rarely,194,Research & DevelopMaleent,30,3,79,12640,10112,MaleanuFemaleacturing Director,16,Other,1,70-1226015,3,Male,2,1,Single,5,Yes,No,21,2,2,80,2,12,1,3,40,8,14,13,Yes
43,Travel_Rarely,1191,Human Resources,9,1,125,20000,16000,Sales Representative,16,Technical Degree,1,22-5972092,4,Male,4,2,Married,5,Yes,No,11,3,3,80,0,20,5,4,23,9,7,14,No
26,Travel_Femalerequently,565,Sales,27,5,37,5920,4736,Human Resources,14,Life Sciences,1,56-8971704,2,Male,1,2,Married,2,Yes,No,18,3,1,80,2,4,0,1,8,12,9,7,Yes
19,Travel_Femalerequently,372,Sales,2,5,127,20320,16256,MaleanuFemaleacturing Director,16,Medical,1,21-0126262,1,Female,4,4,Married,8,Yes,No,22,3,4,80,3,22,1,4,13,7,7,3,Yes
35,Non-Travel,635,Research & DevelopMaleent,39,4,66,10560,8448,Research Director,18,Life Sciences,1,97-4487325,1,Female,4,3,Married,5,Yes,No,16,3,3,80,3,14,5,2,31,17,10,2,No
35,Travel_Rarely,835,Research & DevelopMaleent,9,1,77,12320,9856,Laboratory Technician,16,Human Resources,1,70-9430587,2,Male,2,4,Married,5,Yes,No,18,1,3,80,0,37,6,1,15,19,4,17,No
56,Travel_Femalerequently,746,Sales,28,5,97,15520,12416,Sales Executive,16,Technical Degree,1,64-4468060,3,Male,4,4,Single,3,Yes,No,19,4,4,80,3,17,6,4,16,13,1,13,Yes
44,Non-Travel,204,Research & DevelopMaleent,16,1,89,14240,11392,Human Resources,14,Life Sciences,1,45-6335444,3,Female,3,2,Single,3,Yes,No,23,3,1,80,0,31,6,3,35,17,14,14,Yes
32,Travel_Femalerequently,418,Human Resources,13,1,39,6240,4992,Laboratory Technician,14,Life Sciences,1,12-8486619,4,Male,2,4,Single,7,Yes,No,13,3,3,80,0,6,5,1,26,5,11,2,No
45,Travel_Femalerequently,423,Sales,10,3,46,7360,5888,Laboratory Technician,16,Life Sciences,1,43-6479624,4,Female,2,1,Married,3,Yes,No,18,4,1,80,2,35,1,4,14,0,14,5,Yes
44,Non-Travel,153,Sales,17,5,117,18720,14976,Research Director,20,Sales,1,89-7689963,2,Male,4,1,Married,0,Yes,No,11,3,3,80,2,2,2,2,40,3,9,0,Yes
43,Travel_Femalerequently,277,Human Resources,17,3,128,20480,16384,MaleanuFemaleacturing Director,16,Life Sciences,1,40-5664664,4,Female,2,3,Married,8,Yes,No,22,2,3,80,2,29,3,3,0,7,14,7,No
60,Travel_Rarely,170,Sales,29,4,40,6400,5120,Sales Representative,14,Medical,1,89-3812874,4,Female,2,2,Married,2,Yes,No,21,2,3,80,3,24,3,1,10,12,0,4,Yes
23,Travel_Rarely,1085,Human Resources,19,4,108,17280,13824,Manager,16,Life Sciences,1,92-1397287,3,Female,3,2,Single,0,Yes,No,10,1,1,80,2,26,5,4,14,17,15,17,Yes
55,Non-Travel,649,Human Resources,28,3,111,17760,14208,MaleanuFemaleacturing Director,16,Life Sciences,1,43-2592632,3,Male,4,3,Married,2,Yes,No,15,3,3,80,1,28,6,3,19,12,15,11,No
33,Non-Travel,840,Research & DevelopMaleent,20,3,116,18560,14848,Sales Executive,16,Life Sciences,1,44-9428328,1,Female,2,3,Single,5,Yes,No,14,2,1,80,2,28,2,4,34,9,4,14,Yes
45,Travel_Femalerequently,843,Sales,42,5,33,5280,4224,Manager,18,Technical Degree,1,12-7701800,3,Female,1,2,Single,2,Yes,No,18,4,3,80,2,23,5,1,30,4,11,11,Yes
41,Travel_Femalerequently,1392,Research & DevelopMaleent,41,3,94,15040,12032,Sales Executive,14,Medical,1,31-0077204,3,Female,2,4,Single,7,Yes,No,20,4,1,80,1,37,0,3,3,9,4,4,No
29,Travel_Femalerequently,1287,Human Resources,35,2,122,19520,15616,Sales Executive,16,Other,1,71-2130295,1,Female,3,3,Married,0,Yes,No,19,1,1,80,1,4,1,1,12,5,7,17,Yes
31,Travel_Rarely,629,Human Resources,9,5,95,15200,12160,MaleanuFemaleacturing Director,14,Life Sciences,1,62-2879453,4,Male,1,2,Married,1,Yes,No,20,1,2,80,3,9,4,3,29,0,2,0,No
36,Travel_Femalerequently,481,Research & DevelopMaleent,20,1,137,21920,17536,Human Resources,14,Human Resources,1,59-8340927,1,Female,4,3,Married,6,Yes,No,25,3,3,80,0,37,5,1,25,6,10,2,No
37,Travel_Rarely,724,Research & DevelopMaleent,18,3,48,7680,6144,Healthcare Representative,12,Other,1,23-0766987,3,Female,2,1,Married,6,Yes,No,10,2,2,80,2,18,3,4,33,7,12,8,Yes
56,Travel_Rarely,116,Sales,24,4,149,23840,19072,Research Director,16,Medical,1,55-9675844,4,Female,3,2,Single,8,Yes,No,24,1,2,80,2,27,0,1,4,8,3,8,No
39,Non-Travel,1103,Human Resources,28,4,65,10400,8320,Human Resources,14,Medical,1,99-1759295,3,Female,3,3,Single,7,Yes,No,23,3,4,80,2,17,0,3,40,10,13,6,Yes
33,Non-Travel,436,Research & DevelopMaleent,6,2,145,23200,18560,Research Director,16,Technical Degree,1,72-8202926,4,Male,3,1,Married,8,Yes,No,24,3,1,80,0,29,3,4,39,17,12,4,Yes
35,Non-Travel,1215,Human Resources,44,4,138,22080,17664,Manager,16,Human Resources,1,84-3725508,3,Male,2,3,Single,1,Yes,No,21,2,3,80,3,0,6,2,25,14,8,2,No
45,Travel_Rarely,788,Sales,31,3,90,14400,11520,Manager,16,Other,1,18-1977186,1,Female,2,2,Married,6,Yes,No,13,2,1,80,1,3,4,1,24,15,12,16,Yes
19,Travel_Rarely,1008,Human Resources,34,5,93,14880,11904,Manager,14,Life Sciences,1,57-5664798,2,Female,2,1,Married,0,Yes,No,25,3,3,80,3,0,4,1,39,9,3,8,No
21,Travel_Rarely,139,Sales,42,2,75,12000,9600,Human Resources,12,Human Resources,1,05-5066971,4,Female,1,2,Married,8,Yes,No,15,4,3,80,1,11,4,1,27,8,12,11,Yes
19,Travel_Rarely,498,Sales,38,4,83,13280,10624,Sales Executive,16,Life Sciences,1,70-4301894,2,Female,4,2,Married,6,Yes,No,22,3,3,80,2,25,4,1,5,1,4,10,Yes
57,Non-Travel,663,Human Resources,7,2,68,10880,8704,Research Scientist,20,Medical,1,26-3199411,3,Female,2,4,Single,7,Yes,No,10,3,2,80,0,14,1,2,11,15,15,16,Yes
45,Non-Travel,761,Human Resources,48,3,78,12480,9984,MaleanuFemaleacturing Director,14,Life Sciences,1,38-5543323,1,Male,3,1,Single,4,Yes,No,21,1,1,80,2,31,3,4,13,20,15,12,No
43,Travel_Femalerequently,1306,Human Resources,26,1,106,16960,13568,Laboratory Technician,16,Other,1,39-5838239,4,Male,3,1,Single,4,Yes,No,13,2,1,80,1,28,0,1,36,18,12,10,Yes
44,Travel_Rarely,333,Research & DevelopMaleent,28,4,141,22560,18048,Sales Executive,16,Technical Degree,1,71-0077327,1,Male,4,1,Single,3,Yes,No,18,4,1,80,3,37,0,2,16,3,12,2,No
25,Travel_Femalerequently,550,Human Resources,2,2,37,5920,4736,Healthcare Representative,14,Other,1,51-6458512,4,Female,1,2,Married,2,Yes,No,24,2,4,80,0,14,5,1,3,2,15,3,No
41,Travel_Rarely,503,Human Resources,23,5,86,13760,11008,Sales Executive,18,Medical,1,97-6320005,2,Male,3,1,Married,7,Yes,No,12,2,4,80,2,11,6,3,28,9,2,11,No
29,Non-Travel,341,Human Resources,16,5,50,8000,6400,Research Scientist,20,Life Sciences,1,65-3088094,2,Female,2,3,Married,5,Yes,No,24,1,3,80,2,37,5,1,34,18,7,16,No
52,Travel_Femalerequently,1063,Sales,22,2,149,23840,19072,MaleanuFemaleacturing Director,14,Technical Degree,1,04-3128277,4,Female,2,1,Single,6,Yes,No,15,4,4,80,0,35,0,1,31,20,14,5,No
36,Travel_Rarely,508,Human Resources,33,2,89,14240,11392,Research Scientist,16,Sales,1,29-6933915,1,Female,3,3,Married,6,Yes,No,18,4,4,80,0,39,4,1,3,13,1,2,No
56,Travel_Femalerequently,808,Sales,5,3,39,6240,4992,Sales Representative,14,Medical,1,28-1897646,3,Female,4,3,Single,0,Yes,No,18,4,4,80,1,4,1,1,23,14,0,8,No
58,Non-Travel,638,Sales,24,2,74,11840,9472,Healthcare Representative,14,Life Sciences,1,37-3540584,1,Male,2,4,Single,3,Yes,No,15,3,3,80,1,24,3,1,12,19,3,6,Yes
56,Non-Travel,189,Sales,1,3,36,5760,4608,Healthcare Representative,14,Medical,1,21-5644371,3,Female,2,3,Single,8,Yes,No,11,1,2,80,1,27,0,3,28,3,10,6,No
34,Travel_Rarely,609,Human Resources,50,3,121,19360,15488,Research Director,20,Medical,1,77-2610650,2,Male,2,4,Single,1,Yes,No,15,2,2,80,1,5,6,2,17,6,6,17,Yes
20,Travel_Femalerequently,715,Sales,50,3,74,11840,9472,Human Resources,16,Life Sciences,1,02-4793610,2,Male,4,1,Married,7,Yes,No,14,1,1,80,2,28,1,4,3,3,4,13,Yes
36,Non-Travel,1160,Sales,3,5,132,21120,16896,MaleanuFemaleacturing Director,14,Human Resources,1,84-9633085,4,Female,2,2,Married,0,Yes,No,21,4,4,80,3,37,2,2,7,10,5,4,No
42,Travel_Rarely,1219,Sales,45,3,50,8000,6400,Laboratory Technician,18,Human Resources,1,43-7034011,3,Female,1,1,Single,3,Yes,No,15,2,1,80,2,15,1,1,32,0,10,15,Yes
25,Travel_Femalerequently,522,Sales,19,1,110,17600,14080,Laboratory Technician,18,Technical Degree,1,42-0594255,1,Female,2,1,Married,5,Yes,No,17,3,4,80,0,37,2,2,35,4,11,0,No
18,Non-Travel,1271,Human Resources,33,4,104,16640,13312,Research Director,16,Life Sciences,1,32-0853106,4,Male,2,1,Single,1,Yes,No,18,4,4,80,2,40,6,2,34,15,1,8,No
35,Travel_Femalerequently,976,Research & DevelopMaleent,14,5,148,23680,18944,Research Scientist,16,Other,1,64-5738818,2,Female,1,4,Married,7,Yes,No,17,3,1,80,2,39,3,1,21,17,14,16,Yes
60,Travel_Femalerequently,1422,Human Resources,41,5,136,21760,17408,Research Director,16,Other,1,09-2080372,1,Female,2,1,Single,0,Yes,No,17,1,1,80,2,5,3,4,23,14,3,10,Yes
46,Travel_Rarely,421,Sales,37,4,73,11680,9344,Sales Executive,14,Other,1,02-8953666,1,Male,4,2,Single,3,Yes,No,18,4,3,80,3,25,6,4,8,13,1,4,Yes
23,Travel_Femalerequently,639,Human Resources,11,4,37,5920,4736,Human Resources,16,Other,1,44-7318479,3,Male,1,1,Married,4,Yes,No,21,2,2,80,2,30,0,2,15,16,3,13,Yes
32,Travel_Rarely,1402,Human Resources,8,1,117,18720,14976,Healthcare Representative,14,Human Resources,1,06-1847259,2,Male,1,2,Married,4,Yes,No,19,2,2,80,0,17,2,3,0,2,6,15,Yes
28,Non-Travel,871,Research & DevelopMaleent,7,2,56,8960,7168,Laboratory Technician,18,Technical Degree,1,25-2121840,4,Male,2,1,Married,5,Yes,No,12,4,4,80,0,19,0,1,33,16,5,12,Yes
54,Travel_Rarely,237,Sales,11,4,73,11680,9344,Manager,18,Technical Degree,1,94-7062435,3,Male,4,3,Married,8,Yes,No,23,3,4,80,3,14,6,3,32,6,2,4,Yes
35,Travel_Femalerequently,623,Research & DevelopMaleent,39,2,111,17760,14208,Sales Executive,14,Sales,1,14-6395945,1,Female,1,1,Married,1,Yes,No,21,3,1,80,0,24,1,1,13,10,13,4,Yes
54,Non-Travel,760,Sales,38,1,86,13760,11008,Sales Representative,14,Sales,1,37-7104256,1,Female,4,1,Married,0,Yes,No,18,1,4,80,0,0,1,1,13,2,5,5,No
19,Travel_Rarely,1188,Research & DevelopMaleent,4,1,138,22080,17664,Human Resources,16,Other,1,48-9532311,3,Male,3,1,Single,8,Yes,No,21,1,2,80,1,10,5,2,33,5,9,13,Yes
37,Travel_Femalerequently,228,Research & DevelopMaleent,19,5,84,13440,10752,MaleanuFemaleacturing Director,14,Life Sciences,1,43-0866048,2,Male,2,2,Single,3,Yes,No,23,1,2,80,2,25,6,2,36,18,12,6,No
43,Travel_Rarely,520,Research & DevelopMaleent,30,5,97,15520,12416,Research Director,18,Human Resources,1,20-5968566,4,Male,1,4,Single,1,Yes,No,19,2,3,80,2,8,5,1,11,16,7,12,No
35,Travel_Femalerequently,277,Sales,43,2,66,10560,8448,Sales Representative,16,Other,1,70-6575669,3,Male,3,2,Single,0,Yes,No,10,2,3,80,0,39,1,1,19,16,10,9,Yes
52,Travel_Rarely,1456,Sales,8,4,107,17120,13696,MaleanuFemaleacturing Director,16,Life Sciences,1,33-4507582,2,Male,1,2,Single,2,Yes,No,22,3,3,80,2,20,3,3,12,5,2,0,No
33,Non-Travel,263,Sales,36,3,133,21280,17024,Research Scientist,16,Other,1,31-4407557,3,Female,1,1,Single,6,Yes,No,14,4,1,80,1,14,6,3,1,4,14,13,Yes
51,Travel_Femalerequently,161,Sales,31,3,89,14240,11392,Human Resources,14,Human Resources,1,09-6021481,3,Male,4,4,Single,2,Yes,No,25,3,4,80,2,27,1,1,30,12,2,4,Yes
32,Travel_Femalerequently,350,Research & DevelopMaleent,50,3,49,7840,6272,Sales Representative,12,Life Sciences,1,32-1536881,4,Male,2,2,Single,7,Yes,No,13,2,2,80,1,27,6,3,19,18,5,8,No
31,Non-Travel,952,Sales,18,4,83,13280,10624,Human Resources,14,Other,1,02-5889195,3,Male,4,3,Single,3,Yes,No,11,2,2,80,2,17,6,3,15,17,10,2,Yes
23,Non-Travel,1255,Sales,43,4,38,6080,4864,Sales Representative,18,Other,1,83-3991279,1,Male,3,1,Married,4,Yes,No,24,1,2,80,3,25,6,2,17,17,10,10,Yes
55,Travel_Rarely,1235,Human Resources,46,5,65,10400,8320,Human Resources,12,Sales,1,18-0973563,4,Female,3,1,Single,8,Yes,No,10,2,4,80,3,3,4,3,11,11,2,3,No
56,Travel_Rarely,1259,Research & DevelopMaleent,15,5,83,13280,10624,Human Resources,14,Life Sciences,1,61-6185191,3,Female,4,2,Married,3,Yes,No,20,1,1,80,3,23,4,3,34,5,8,6,Yes
27,Non-Travel,830,Human Resources,34,2,109,17440,13952,Sales Executive,18,Human Resources,1,15-6556453,1,Female,2,3,Married,7,Yes,No,19,1,3,80,0,29,4,2,7,6,5,15,No
56,Non-Travel,528,Research & DevelopMaleent,22,5,108,17280,13824,Research Scientist,20,Medical,1,56-4093112,2,Male,1,1,Married,8,Yes,No,12,1,1,80,2,27,2,2,30,20,9,2,Yes
55,Travel_Rarely,981,Research & DevelopMaleent,16,4,61,9760,7808,Research Scientist,20,Sales,1,20-9793197,2,Male,2,3,Single,0,Yes,No,19,3,3,80,3,7,4,3,27,15,0,6,No
60,Travel_Femalerequently,794,Research & DevelopMaleent,8,4,117,18720,14976,Research Scientist,20,Human Resources,1,83-7820476,4,Male,2,3,Single,3,Yes,No,21,2,4,80,2,38,3,3,35,12,5,10,Yes
30,Non-Travel,474,Research & DevelopMaleent,13,1,91,14560,11648,Sales Representative,12,Other,1,50-5387805,4,Female,4,3,Married,8,Yes,No,16,2,2,80,1,9,4,1,18,2,5,0,No
55,Travel_Rarely,539,Sales,41,5,30,4800,3840,MaleanuFemaleacturing Director,16,Other,1,43-4375938,3,Female,4,1,Single,4,Yes,No,14,2,4,80,2,36,2,4,0,19,5,17,No
24,Travel_Rarely,982,Research & DevelopMaleent,36,5,144,23040,18432,Research Director,18,Sales,1,78-0739652,3,Female,3,4,Single,6,Yes,No,25,3,3,80,2,4,4,4,27,17,7,12,No
26,Non-Travel,118,Research & DevelopMaleent,44,3,54,8640,6912,Sales Executive,14,Medical,1,80-6185376,3,Female,1,3,Married,1,Yes,No,24,3,1,80,1,38,5,4,24,2,15,5,Yes
51,Travel_Femalerequently,1174,Research & DevelopMaleent,21,1,45,7200,5760,Laboratory Technician,18,Technical Degree,1,91-8465965,4,Male,3,2,Married,0,Yes,No,13,2,1,80,1,24,3,3,9,2,13,15,Yes
25,Non-Travel,141,Human Resources,3,1,129,20640,16512,Healthcare Representative,14,Life Sciences,1,15-4859579,3,Female,3,2,Single,3,Yes,No,25,4,4,80,1,5,5,4,9,20,7,16,Yes
29,Travel_Rarely,169,Sales,5,1,143,22880,18304,Sales Representative,16,Life Sciences,1,21-7088384,1,Female,1,4,Married,7,Yes,No,10,2,2,80,0,39,1,3,30,6,3,1,No
28,Travel_Rarely,615,Human Resources,15,1,126,20160,16128,Sales Representative,14,Technical Degree,1,46-3341268,4,Male,2,2,Single,0,Yes,No,15,4,2,80,1,20,4,4,38,19,9,14,No
58,Travel_Femalerequently,630,Research & DevelopMaleent,30,4,150,24000,19200,Research Director,20,Medical,1,62-1041578,4,Male,4,2,Single,3,Yes,No,16,4,4,80,3,17,2,3,2,14,10,11,No
