Age,BusinessTravel,DailyRate,Department,DistanceFemaleroMaleHoMalee,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolveMaleent,JobSatisfaction,MartialStatus,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisFemaleaction,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
47,Non-Travel,1053,Sales,45,3,97,15520,12416,Healthcare Representative,16,Human Resources,1,01-8908633,4,Female,3,2,Married,7,Yes,No,20,1,2,80,1,32,4,3,18,19,10,6,Yes
52,Travel_Rarely,138,Research & DevelopMaleent,46,4,116,18560,14848,Sales Executive,16,Human Resources,1,39-9480987,4,Male,3,2,Single,0,Yes,No,22,2,1,80,2,38,0,2,7,13,3,0,Yes
20,Travel_Rarely,113,Sales,36,5,109,17440,13952,Research Director,20,Life Sciences ,1,60-5208025,3,Female,4,3,Married,3,Yes,No,24,2,2,80,2,1,6,1,4,6,12,9,No
35,Non-Travel,345,Research & DevelopMaleent,25,1,52,8320,6656,Healthcare Representative,12,Life Sciences ,1,26-8195074,3,Male,4,2,Married,4,Yes,No,24,2,2,80,1,32,6,4,18,0,3,17,Yes
28,Non-Travel,770,Research & DevelopMaleent,7,5,145,23200,18560,Manufacturing Director,14,Medical,1,24-7764280,1,Male,2,4,Single,8,Yes,No,15,4,2,80,3,25,5,1,31,9,14,3,Yes
39,Travel_Femalerequently,102,Sales,2,3,57,9120,7296,Human Resources,14,Technical Degree,1,00-1883089,1,Male,3,2,Married,6,Yes,No,24,4,4,80,1,10,2,3,8,7,1,9,No
37,Travel_Rarely,370,Research & DevelopMaleent,23,5,38,6080,4864,Research Director,20,Human Resources,1,11-6928991,4,Male,4,4,Single,5,Yes,No,18,3,4,80,3,28,2,1,12,13,13,6,No
54,Non-Travel,923,Research & DevelopMaleent,31,3,146,23360,18688,Sales Executive,16,Medical,1,33-8681863,1,Female,2,4,Single,6,Yes,No,15,4,3,80,2,4,0,3,9,15,2,6,No
41,Travel_Rarely,612,Sales,24,5,76,12160,9728,Manufacturing Director,14,Other,1,40-0918639,2,Female,3,3,Single,4,Yes,No,12,1,2,80,2,17,4,2,25,1,11,2,Yes
47,Non-Travel,554,Research & DevelopMaleent,16,5,30,4800,3840,Research Director,16,Other,1,48-8670321,1,Female,2,3,Married,3,Yes,No,18,1,4,80,3,8,5,2,34,11,8,8,No
55,Travel_Femalerequently,406,Human Resources,5,3,105,16800,13440,Manager,18,Sales,1,73-7741787,4,Female,1,4,Married,7,Yes,No,15,4,4,80,1,20,2,3,32,1,0,5,No
18,Travel_Femalerequently,278,Sales,22,2,49,7840,6272,Healthcare Representative,12,Human Resources,1,75-6440818,2,Female,4,3,Married,0,Yes,No,24,1,4,80,1,36,6,2,30,4,15,17,No
46,Non-Travel,1118,Human Resources,35,1,132,21120,16896,Sales Representative,18,Technical Degree,1,41-5908373,3,Male,1,3,Married,2,Yes,No,11,2,3,80,1,7,5,3,11,9,9,6,No
33,Travel_Femalerequently,837,Research & DevelopMaleent,3,3,57,9120,7296,Research Director,20,Other,1,61-6880472,2,Male,4,3,Single,6,Yes,No,17,3,4,80,1,25,2,2,7,8,4,11,No
43,Travel_Femalerequently,658,Sales,9,5,51,8160,6528,Research Director,20,Technical Degree,1,88-3979202,4,Female,2,3,Married,2,Yes,No,17,1,2,80,3,30,2,1,8,9,12,17,No
55,Travel_Rarely,588,Sales,9,5,138,22080,17664,Manufacturing Director,14,Medical,1,72-7893762,1,Male,4,2,Single,8,Yes,No,19,2,1,80,3,35,1,1,29,17,13,11,Yes
52,Non-Travel,1395,Sales,42,4,94,15040,12032,Healthcare Representative,12,Life Sciences ,1,00-8164207,1,Female,2,3,Single,5,Yes,No,25,2,2,80,2,32,3,2,9,3,12,11,Yes
35,Travel_Femalerequently,1456,Human Resources,31,5,144,23040,18432,Manufacturing Director,16,Life Sciences ,1,19-6728615,2,Female,4,1,Married,6,Yes,No,22,3,4,80,3,16,6,1,13,2,13,14,No
60,Travel_Rarely,158,Sales,27,3,146,23360,18688,Research Director,16,Medical,1,78-3613210,1,Male,3,2,Married,2,Yes,No,12,2,3,80,2,37,1,3,27,13,15,8,No
29,Travel_Rarely,1114,Sales,6,3,134,21440,17152,Sales Executive,16,Sales,1,97-0267391,1,Male,2,1,Married,5,Yes,No,19,4,4,80,1,26,2,4,6,3,8,17,No
35,Non-Travel,795,Sales,20,5,108,17280,13824,Manufacturing Director,14,Sales,1,82-7441608,3,Female,2,2,Married,1,Yes,No,15,4,2,80,3,11,2,3,15,17,11,0,No
20,Travel_Femalerequently,1123,Sales,33,3,39,6240,4992,Sales Representative,16,Medical,1,53-2000760,1,Female,2,4,Married,2,Yes,No,20,2,3,80,1,11,2,2,17,17,5,13,Yes
57,Non-Travel,132,Human Resources,36,3,135,21600,17280,Manufacturing Director,16,Other,1,38-4541364,1,Male,3,1,Married,5,Yes,No,17,3,3,80,1,16,6,4,21,7,8,11,No
51,Travel_Rarely,607,Sales,45,2,81,12960,10368,Laboratory Technician,18,Human Resources,1,87-9632357,4,Female,3,2,Single,3,Yes,No,13,1,2,80,0,29,5,2,31,13,7,1,Yes
33,Travel_Femalerequently,857,Human Resources,11,2,75,12000,9600,Healthcare Representative,14,Other,1,99-4889126,2,Male,4,4,Single,1,Yes,No,10,2,3,80,0,36,4,2,26,12,9,15,No
38,Non-Travel,702,Sales,9,4,142,22720,18176,Research Scientist,20,Medical,1,14-0481494,3,Female,1,2,Married,3,Yes,No,24,1,4,80,2,36,1,4,3,7,3,12,No
28,Non-Travel,1080,Research & DevelopMaleent,47,1,139,22240,17792,Healthcare Representative,12,Human Resources,1,29-4185806,2,Female,3,3,Married,5,Yes,No,25,3,1,80,0,39,2,3,16,9,1,14,Yes
53,Travel_Rarely,1002,Sales,43,2,42,6720,5376,Sales Representative,16,Medical,1,00-9766662,4,Female,2,1,Married,4,Yes,No,11,2,3,80,0,8,6,3,16,4,10,0,No
25,Travel_Rarely,430,Human Resources,50,1,68,10880,8704,Sales Representative,12,Other,1,96-6567864,2,Male,1,4,Single,6,Yes,No,16,3,1,80,0,36,4,1,2,14,13,15,Yes
22,Travel_Femalerequently,639,Sales,41,2,39,6240,4992,Healthcare Representative,14,Other,1,83-0245577,1,Male,3,4,Single,4,Yes,No,17,4,3,80,0,27,6,1,22,9,10,0,No
54,Travel_Femalerequently,899,Research & DevelopMaleent,36,4,31,4960,3968,Healthcare Representative,14,Medical,1,76-0684982,3,Male,2,1,Married,7,Yes,No,18,2,4,80,3,32,5,3,30,15,2,3,No
50,Non-Travel,1425,Human Resources,17,5,99,15840,12672,Research Director,20,Medical,1,40-1049259,3,Female,1,1,Single,6,Yes,No,15,2,2,80,2,27,6,3,37,2,3,15,Yes
51,Travel_Rarely,221,Human Resources,4,4,132,21120,16896,Sales Executive,14,Technical Degree,1,19-7139352,4,Female,2,3,Married,6,Yes,No,16,1,1,80,3,1,3,2,18,19,1,5,Yes
24,Travel_Rarely,1314,Research & DevelopMaleent,19,1,77,12320,9856,Laboratory Technician,14,Sales,1,01-3044397,2,Male,1,2,Single,6,Yes,No,21,3,2,80,0,2,6,2,8,9,13,3,Yes
33,Travel_Femalerequently,715,Sales,12,4,135,21600,17280,Research Director,16,Human Resources,1,03-1395766,3,Male,1,4,Married,5,Yes,No,10,3,2,80,2,30,5,3,38,2,12,1,Yes
50,Non-Travel,129,Sales,34,4,58,9280,7424,Healthcare Representative,12,Human Resources,1,94-6871173,3,Male,3,4,Single,0,Yes,No,17,4,3,80,3,26,0,2,17,12,0,13,No
20,Travel_Rarely,1225,Research & DevelopMaleent,46,5,32,5120,4096,Manufacturing Director,14,Life Sciences ,1,28-2253770,2,Male,2,1,Single,2,Yes,No,12,2,3,80,2,9,3,1,6,12,12,3,No
35,Travel_Rarely,1290,Sales,30,5,78,12480,9984,Sales Executive,18,Technical Degree,1,81-6974215,2,Female,2,3,Single,7,Yes,No,19,2,4,80,3,26,2,2,24,18,14,15,No
41,Travel_Rarely,817,Research & DevelopMaleent,24,3,145,23200,18560,Sales Executive,14,Human Resources,1,27-9203580,3,Male,1,1,Single,4,Yes,No,18,1,2,80,2,31,5,3,21,13,5,4,Yes
23,Non-Travel,513,Human Resources,41,2,62,9920,7936,Laboratory Technician,18,Technical Degree,1,34-3076047,4,Female,4,1,Married,7,Yes,No,12,3,4,80,1,25,4,2,27,1,5,13,No
34,Non-Travel,1498,Sales,23,1,71,11360,9088,Sales Representative,14,Sales,1,82-7463287,3,Female,2,4,Single,3,Yes,No,19,4,2,80,0,34,6,2,29,6,8,0,Yes
25,Travel_Femalerequently,212,Sales,29,2,47,7520,6016,Human Resources,14,Medical,1,94-7252593,3,Female,1,4,Married,7,Yes,No,22,2,2,80,0,23,4,2,14,5,13,12,Yes
23,Travel_Femalerequently,963,Sales,30,5,102,16320,13056,Research Director,16,Human Resources,1,50-0105477,4,Female,2,2,Married,1,Yes,No,12,3,4,80,2,40,0,4,22,12,11,3,No
39,Travel_Femalerequently,1470,Research & DevelopMaleent,20,5,88,14080,11264,Research Director,18,Sales,1,36-3792240,3,Male,4,3,Married,5,Yes,No,25,1,2,80,3,37,2,1,1,16,9,11,Yes
20,Travel_Femalerequently,571,Sales,11,3,133,21280,17024,Manufacturing Director,14,Sales,1,73-6422415,1,Male,4,2,Married,1,Yes,No,23,2,2,80,1,36,3,1,20,16,7,2,Yes
26,Travel_Rarely,847,Sales,5,2,104,16640,13312,Sales Executive,14,Technical Degree,1,20-0844263,1,Female,1,1,Married,4,Yes,No,14,3,4,80,1,6,4,1,11,17,12,9,No
44,Non-Travel,147,Sales,34,3,32,5120,4096,Human Resources,14,Other,1,44-9263513,2,Male,1,1,Married,4,Yes,No,13,2,4,80,1,30,3,4,2,2,8,13,No
26,Travel_Rarely,733,Sales,43,4,55,8800,7040,Human Resources,12,Other,1,86-3719896,1,Male,1,3,Single,0,Yes,No,13,2,3,80,2,20,6,1,12,8,0,7,No
40,Travel_Rarely,230,Sales,19,4,50,8000,6400,Laboratory Technician,18,Medical,1,58-8558438,1,Male,2,4,Single,1,Yes,No,11,4,2,80,3,28,4,3,5,19,10,7,Yes
51,Travel_Rarely,209,Human Resources,29,2,47,7520,6016,Human Resources,14,Technical Degree,1,24-5448572,1,Female,1,3,Single,5,Yes,No,13,1,1,80,1,10,6,4,30,8,2,16,Yes
20,Travel_Femalerequently,507,Research & DevelopMaleent,10,3,53,8480,6784,Human Resources,16,Human Resources,1,06-7607461,1,Male,1,4,Single,2,Yes,No,21,2,1,80,2,27,4,4,16,16,0,4,No
49,Travel_Rarely,1396,Research & DevelopMaleent,44,5,65,10400,8320,Sales Executive,16,Technical Degree,1,32-2144758,2,Female,2,2,Single,7,Yes,No,22,3,4,80,2,40,1,2,23,18,13,17,No
42,Non-Travel,596,Sales,30,2,95,15200,12160,Laboratory Technician,18,Medical,1,54-5510080,3,Male,2,3,Single,5,Yes,No,18,3,4,80,1,14,3,3,35,9,3,11,No
52,Travel_Rarely,1229,Human Resources,18,1,73,11680,9344,Sales Representative,16,Technical Degree,1,20-5044574,4,Male,1,3,Married,3,Yes,No,17,1,1,80,1,31,5,4,29,9,4,1,Yes
55,Travel_Femalerequently,1185,Sales,10,5,50,8000,6400,Manager,16,Life Sciences ,1,98-8364928,4,Male,2,1,Married,7,Yes,No,21,2,4,80,2,30,6,4,29,3,9,1,No
42,Non-Travel,1303,Research & DevelopMaleent,4,5,131,20960,16768,Research Director,16,Medical,1,83-3272862,3,Male,2,4,Single,5,Yes,No,23,1,3,80,3,20,1,3,37,14,4,17,No
28,Travel_Rarely,668,Sales,35,5,69,11040,8832,Manufacturing Director,16,Sales,1,92-4164496,1,Female,2,1,Married,0,Yes,No,21,1,3,80,2,11,5,2,32,9,8,13,No
40,Travel_Rarely,605,Human Resources,32,5,141,22560,18048,Research Director,20,Technical Degree,1,64-9416594,3,Male,4,3,Married,0,Yes,No,23,2,1,80,3,26,3,1,35,5,6,8,Yes
28,Travel_Rarely,223,Sales,11,1,94,15040,12032,Human Resources,12,Medical,1,68-0126134,1,Male,2,3,Married,0,Yes,No,10,3,3,80,0,30,6,1,30,3,12,13,No
60,Non-Travel,1223,Research & DevelopMaleent,20,5,125,20000,16000,Manager,16,Other,1,61-3779815,3,Male,1,3,Married,5,Yes,No,17,2,1,80,2,34,3,4,26,16,14,8,No
24,Travel_Femalerequently,434,Sales,46,4,129,20640,16512,Manager,18,Life Sciences ,1,72-8775193,2,Female,1,4,Married,4,Yes,No,13,3,2,80,2,21,5,1,5,9,2,12,Yes
37,Non-Travel,1216,Research & DevelopMaleent,15,2,53,8480,6784,Healthcare Representative,16,Technical Degree,1,13-4068352,2,Female,2,1,Married,8,Yes,No,19,3,4,80,0,38,1,4,36,14,14,3,No
36,Non-Travel,1170,Sales,46,2,87,13920,11136,Healthcare Representative,14,Human Resources,1,65-2267367,4,Male,3,4,Single,4,Yes,No,18,1,1,80,0,0,5,2,38,2,12,16,Yes
28,Travel_Rarely,1484,Research & DevelopMaleent,23,1,73,11680,9344,Sales Representative,16,Life Sciences ,1,34-3756872,4,Female,1,3,Single,6,Yes,No,19,1,2,80,0,6,2,1,39,9,0,13,No
42,Travel_Femalerequently,1383,Sales,42,2,81,12960,10368,Research Scientist,16,Human Resources,1,63-1517367,3,Male,2,4,Married,2,Yes,No,20,4,3,80,0,25,0,2,32,9,3,8,Yes
20,Travel_Femalerequently,130,Human Resources,15,3,80,12800,10240,Manufacturing Director,16,Life Sciences ,1,70-5695806,4,Female,3,1,Single,4,Yes,No,10,2,1,80,2,4,3,4,16,10,0,0,No
60,Travel_Femalerequently,1089,Sales,1,4,45,7200,5760,Sales Representative,12,Other,1,98-6075513,3,Male,3,1,Single,0,Yes,No,10,1,1,80,2,13,1,1,37,13,1,13,Yes
23,Non-Travel,1464,Research & DevelopMaleent,6,2,80,12800,10240,Manufacturing Director,16,Technical Degree,1,85-8778416,4,Female,2,2,Married,1,Yes,No,21,3,3,80,0,13,5,3,3,3,12,17,No
23,Non-Travel,1113,Human Resources,41,2,68,10880,8704,Research Scientist,16,Other,1,92-3827819,1,Male,4,4,Single,5,Yes,No,23,4,3,80,0,14,5,1,11,8,14,7,No
60,Travel_Femalerequently,402,Research & DevelopMaleent,9,3,71,11360,9088,Research Director,18,Human Resources,1,87-1703723,2,Male,3,4,Single,6,Yes,No,22,3,4,80,1,30,3,1,5,16,2,0,No
18,Travel_Femalerequently,988,Human Resources,41,2,121,19360,15488,Sales Executive,16,Life Sciences ,1,74-1566602,4,Male,4,1,Married,7,Yes,No,21,3,4,80,1,9,1,3,11,17,13,5,No
23,Travel_Rarely,573,Sales,31,1,51,8160,6528,Laboratory Technician,16,Sales,1,84-6364483,1,Male,2,3,Single,1,Yes,No,22,2,3,80,1,18,5,3,39,4,5,4,Yes
31,Travel_Femalerequently,973,Human Resources,36,2,86,13760,11008,Manager,18,Other,1,26-5516335,1,Female,1,4,Single,4,Yes,No,14,4,3,80,0,31,0,4,6,8,7,15,No
19,Non-Travel,1297,Sales,17,4,127,20320,16256,Sales Executive,18,Human Resources,1,87-0199446,4,Male,3,4,Married,8,Yes,No,18,4,1,80,3,9,3,1,22,15,13,10,Yes
20,Travel_Rarely,1104,Sales,44,4,99,15840,12672,Sales Representative,14,Sales,1,80-1576561,1,Female,1,3,Single,8,Yes,No,17,1,2,80,3,40,3,1,26,0,11,16,No
28,Travel_Femalerequently,375,Sales,1,5,42,6720,5376,Research Director,16,Sales,1,54-7342350,3,Male,2,3,Single,3,Yes,No,17,3,3,80,3,8,1,3,36,20,9,9,No
39,Travel_Femalerequently,254,Sales,46,3,89,14240,11392,Laboratory Technician,16,Life Sciences ,1,91-8837310,2,Female,4,1,Single,3,Yes,No,16,4,2,80,1,30,1,1,18,2,4,7,No
57,Travel_Rarely,627,Research & DevelopMaleent,47,3,93,14880,11904,Human Resources,14,Sales,1,08-7315017,4,Female,2,4,Married,1,Yes,No,24,2,3,80,2,20,2,3,15,9,1,5,Yes
24,Travel_Rarely,630,Human Resources,47,5,61,9760,7808,Research Director,18,Other,1,59-0349003,4,Male,3,3,Single,7,Yes,No,14,2,3,80,2,6,1,3,35,19,15,17,No
38,Travel_Femalerequently,1251,Human Resources,38,2,96,15360,12288,Healthcare Representative,16,Medical,1,79-4419730,4,Male,3,4,Married,5,Yes,No,24,4,3,80,1,21,6,3,2,20,7,0,No
39,Non-Travel,134,Sales,34,2,47,7520,6016,Human Resources,12,Medical,1,08-7132705,4,Female,4,1,Married,2,Yes,No,23,2,2,80,1,12,5,3,36,0,15,7,Yes
26,Travel_Rarely,137,Sales,31,3,130,20800,16640,Manager,14,Medical,1,79-5005549,2,Male,2,4,Married,4,Yes,No,17,2,2,80,1,17,4,4,8,2,2,13,Yes
27,Travel_Rarely,1190,Sales,45,5,148,23680,18944,Manufacturing Director,14,Other,1,44-1655089,4,Male,4,4,Married,8,Yes,No,20,2,3,80,2,23,5,2,3,7,8,10,No
55,Non-Travel,967,Human Resources,24,4,81,12960,10368,Research Scientist,20,Medical,1,90-5258463,3,Male,2,1,Single,2,Yes,No,22,4,3,80,3,32,0,4,12,13,13,6,No
41,Travel_Rarely,1281,Human Resources,20,2,110,17600,14080,Sales Executive,16,Medical,1,36-9896341,4,Male,4,1,Married,8,Yes,No,11,4,4,80,0,0,2,3,33,5,11,8,No
52,Travel_Rarely,997,Research & DevelopMaleent,48,4,84,13440,10752,Research Director,20,Sales,1,76-3715268,2,Male,1,4,Married,3,Yes,No,19,4,3,80,2,13,5,3,6,8,10,14,No
48,Travel_Rarely,1318,Human Resources,36,3,30,4800,3840,Healthcare Representative,14,Medical,1,43-9452497,1,Male,1,2,Married,2,Yes,No,22,2,2,80,2,34,2,1,14,2,8,16,Yes
54,Travel_Rarely,686,Sales,43,3,89,14240,11392,Sales Representative,14,Life Sciences ,1,36-5804990,2,Male,3,4,Married,5,Yes,No,16,1,2,80,1,12,3,1,7,15,0,11,Yes
55,Non-Travel,752,Research & DevelopMaleent,45,2,122,19520,15616,Sales Executive,16,Life Sciences ,1,41-5600443,2,Male,4,3,Married,2,Yes,No,19,4,4,80,1,12,4,4,40,11,8,4,No
38,Non-Travel,998,Human Resources,3,2,69,11040,8832,Manager,16,Human Resources,1,79-4535067,4,Male,4,2,Single,6,Yes,No,18,3,1,80,1,10,0,2,25,14,2,1,No
50,Travel_Femalerequently,665,Human Resources,35,2,100,16000,12800,Sales Representative,16,Sales,1,72-0805422,2,Female,1,1,Single,8,Yes,No,23,2,2,80,1,25,0,4,29,14,7,10,No
33,Non-Travel,1449,Sales,29,2,58,9280,7424,Sales Executive,16,Life Sciences ,1,62-0272803,4,Male,2,3,Married,4,Yes,No,19,4,4,80,1,11,4,2,5,8,1,7,No
19,Travel_Rarely,613,Human Resources,44,3,120,19200,15360,Research Scientist,20,Human Resources,1,48-2179465,4,Male,4,4,Single,8,Yes,No,19,4,4,80,1,7,5,2,10,20,7,10,No
51,Travel_Femalerequently,807,Research & DevelopMaleent,28,1,135,21600,17280,Sales Representative,18,Life Sciences ,1,04-4884351,4,Male,4,1,Single,1,Yes,No,16,1,1,80,0,37,5,2,20,18,10,12,No
25,Travel_Femalerequently,1025,Human Resources,31,4,64,10240,8192,Sales Representative,12,Technical Degree,1,22-2800514,1,Male,4,3,Single,8,Yes,No,12,4,4,80,3,22,1,2,9,3,11,15,No
37,Travel_Femalerequently,773,Human Resources,26,5,39,6240,4992,Research Director,16,Technical Degree,1,99-9764402,3,Male,1,3,Single,4,Yes,No,18,1,4,80,3,16,4,1,5,0,3,16,No
55,Travel_Rarely,1213,Research & DevelopMaleent,17,4,140,22400,17920,Sales Executive,16,Technical Degree,1,02-7736641,4,Male,2,3,Married,8,Yes,No,24,3,2,80,2,23,2,3,5,8,7,9,Yes
32,Non-Travel,277,Human Resources,13,3,100,16000,12800,Research Director,16,Human Resources,1,74-3729287,1,Male,4,3,Single,4,Yes,No,19,3,4,80,1,9,6,4,36,0,12,9,No
44,Non-Travel,753,Sales,11,1,149,23840,19072,Healthcare Representative,16,Technical Degree,1,62-8212769,3,Male,3,1,Married,6,Yes,No,24,1,1,80,0,21,6,2,6,7,8,0,Yes
45,Travel_Femalerequently,311,Human Resources,2,4,110,17600,14080,Manager,16,Technical Degree,1,72-2032257,2,Female,3,2,Single,5,Yes,No,21,1,1,80,3,26,1,3,7,14,6,9,Yes
22,Travel_Rarely,756,Research & DevelopMaleent,19,2,97,15520,12416,Laboratory Technician,14,Other,1,67-8440279,4,Female,2,3,Single,7,Yes,No,14,3,2,80,0,8,1,3,27,16,13,6,No
50,Travel_Rarely,255,Human Resources,41,3,131,20960,16768,Research Director,20,Life Sciences ,1,66-1580196,1,Female,3,2,Married,2,Yes,No,20,3,4,80,1,34,6,4,15,0,6,5,No
49,Travel_Rarely,1128,Research & DevelopMaleent,20,5,77,12320,9856,Human Resources,14,Sales,1,00-2957788,3,Female,2,4,Married,2,Yes,No,23,4,4,80,3,23,5,1,34,20,15,8,No
59,Non-Travel,606,Research & DevelopMaleent,42,2,76,12160,9728,Laboratory Technician,14,Medical,1,63-5719399,3,Male,1,1,Married,8,Yes,No,17,2,3,80,0,7,4,1,35,16,0,0,Yes
39,Travel_Rarely,606,Human Resources,24,4,121,19360,15488,Research Scientist,16,Human Resources,1,19-2298916,3,Male,2,3,Single,5,Yes,No,15,2,3,80,3,0,4,3,5,20,13,16,No
57,Non-Travel,951,Human Resources,18,4,111,17760,14208,Sales Executive,14,Human Resources,1,68-1653950,1,Male,3,1,Single,5,Yes,No,13,3,3,80,2,27,1,3,26,8,6,7,No
