Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
43,Non-Travel,146,Research & Development,28,3,78,12480,9984,Sales Executive,14,Medical,1,01-7021117,4,Female,2,3,Married,6,Yes,No,10,4,3,80,2,38,2,1,25,3,14,17,No
59,Non-Travel,549,Human Resources,44,5,59,9440,7552,Sales Executive,16,Other,1,27-3591894,2,Female,4,4,Single,5,Yes,No,22,4,4,80,2,37,0,1,6,12,4,8,No
18,Non-Travel,1264,Human Resources,31,3,88,14080,11264,Research Director,18,Medical,1,53-7900531,3,Female,2,1,Single,5,Yes,No,14,2,3,80,1,30,5,3,33,3,10,8,Yes
47,Travel_Frequently,844,Sales,8,1,149,23840,19072,Human Resources,14,Life Sciences,1,75-4603951,2,Male,2,4,Married,2,Yes,No,17,1,4,80,0,28,3,4,29,15,14,12,No
19,Non-Travel,721,Sales,24,5,103,16480,13184,Human Resources,14,Medical,1,19-2751681,3,Male,4,4,Married,8,Yes,No,10,2,2,80,2,15,5,2,32,6,10,3,No
45,Travel_Rarely,348,Human Resources,32,1,143,22880,18304,Healthcare Representative,12,Technical Degree,1,89-5066242,1,Male,4,3,Married,1,Yes,No,14,3,1,80,0,34,2,2,1,12,4,4,Yes
50,Travel_Rarely,253,Research & Development,20,5,107,17120,13696,Manager,16,Human Resources,1,30-8095584,4,Female,3,1,Single,3,Yes,No,25,3,3,80,3,12,6,4,18,11,4,16,Yes
43,Non-Travel,405,Research & Development,20,2,91,14560,11648,Research Director,18,Medical,1,93-5563760,3,Female,4,1,Married,5,Yes,No,13,4,1,80,0,4,6,1,33,0,0,16,Yes
32,Travel_Rarely,221,Research & Development,33,3,79,12640,10112,Sales Executive,18,Medical,1,26-6804186,2,Male,3,2,Single,6,Yes,No,12,1,3,80,2,36,5,1,16,13,14,6,Yes
51,Travel_Rarely,501,Sales,8,4,114,18240,14592,Sales Executive,14,Life Sciences,1,88-8222534,1,Male,1,3,Married,6,Yes,No,17,2,2,80,3,31,4,3,18,0,11,0,Yes
40,Non-Travel,871,Research & Development,39,4,124,19840,15872,Research Scientist,18,Life Sciences,1,51-7063954,4,Female,3,3,Married,7,Yes,No,15,4,3,80,2,9,2,3,0,17,12,14,No
44,Travel_Frequently,827,Human Resources,5,5,78,12480,9984,Human Resources,14,Life Sciences,1,90-6053637,1,Female,3,1,Married,7,Yes,No,10,2,3,80,2,21,0,1,0,9,9,1,Yes
28,Travel_Rarely,362,Human Resources,4,3,50,8000,6400,Manufacturing Director,16,Sales,1,75-9388736,1,Female,2,2,Married,8,Yes,No,24,4,3,80,1,25,0,4,27,10,10,16,No
52,Travel_Frequently,1034,Research & Development,46,1,134,21440,17152,Healthcare Representative,16,Sales,1,45-9404574,4,Male,2,1,Single,5,Yes,No,23,3,2,80,1,14,5,4,12,20,10,14,Yes
57,Travel_Rarely,1377,Research & Development,33,3,113,18080,14464,Research Director,18,Medical,1,83-2152256,4,Male,3,1,Married,8,Yes,No,11,4,4,80,1,24,2,3,25,5,15,10,No
54,Non-Travel,1273,Sales,20,1,60,9600,7680,Sales Representative,12,Human Resources,1,27-6770480,4,Female,4,3,Married,1,Yes,No,25,3,1,80,0,31,4,2,40,6,12,3,Yes
30,Travel_Rarely,1336,Sales,34,4,122,19520,15616,Manufacturing Director,16,Medical,1,57-1699123,3,Male,1,1,Single,8,Yes,No,23,3,4,80,3,19,1,2,30,3,6,11,No
51,Travel_Rarely,580,Human Resources,28,1,75,12000,9600,Sales Representative,14,Sales,1,77-2208857,3,Female,4,4,Married,7,Yes,No,18,2,3,80,0,6,0,4,10,11,13,14,No
54,Non-Travel,1025,Research & Development,43,5,40,6400,5120,Research Scientist,16,Other,1,14-0025135,3,Male,1,4,Married,8,Yes,No,22,1,1,80,3,35,0,2,2,13,7,17,Yes
37,Travel_Rarely,353,Sales,49,1,137,21920,17536,Sales Representative,14,Sales,1,52-8998188,3,Male,4,4,Single,5,Yes,No,17,2,2,80,0,9,6,4,35,0,13,6,Yes
18,Travel_Frequently,995,Sales,19,2,119,19040,15232,Research Director,18,Other,1,21-5958459,1,Female,1,3,Married,6,Yes,No,20,3,3,80,0,3,6,3,33,5,11,11,Yes
21,Travel_Frequently,1132,Sales,15,3,79,12640,10112,Human Resources,16,Other,1,42-7666285,1,Female,2,1,Married,7,Yes,No,13,1,3,80,1,17,0,2,8,7,1,1,Yes
57,Travel_Rarely,144,Research & Development,6,4,137,21920,17536,Research Director,20,Human Resources,1,88-1336750,4,Female,2,4,Single,4,Yes,No,15,4,4,80,3,6,6,3,39,7,14,3,No
33,Non-Travel,544,Research & Development,27,1,149,23840,19072,Laboratory Technician,16,Technical Degree,1,91-8656669,1,Female,2,2,Single,0,Yes,No,17,2,2,80,1,2,3,2,25,13,15,17,No
42,Travel_Rarely,1466,Sales,48,1,38,6080,4864,Laboratory Technician,14,Life Sciences,1,94-8282957,2,Male,1,4,Single,0,Yes,No,25,2,1,80,0,38,4,4,25,2,5,9,No
46,Travel_Frequently,964,Sales,48,4,59,9440,7552,Manufacturing Director,14,Human Resources,1,10-5449790,1,Female,2,3,Married,8,Yes,No,14,4,2,80,2,40,0,3,12,19,11,7,Yes
36,Non-Travel,1456,Human Resources,10,5,77,12320,9856,Manufacturing Director,14,Life Sciences,1,02-4368738,4,Female,1,3,Single,2,Yes,No,23,2,2,80,2,18,3,1,3,9,14,9,Yes
25,Non-Travel,867,Research & Development,25,2,137,21920,17536,Manager,16,Human Resources,1,22-9801195,1,Female,1,2,Married,2,Yes,No,11,1,1,80,0,27,4,2,28,1,11,12,No
38,Travel_Rarely,1138,Sales,28,2,67,10720,8576,Sales Representative,12,Human Resources,1,60-8441260,3,Male,3,2,Married,0,Yes,No,20,1,2,80,1,32,4,4,0,10,2,5,Yes
50,Travel_Frequently,303,Research & Development,8,5,92,14720,11776,Manager,16,Technical Degree,1,43-2891767,1,Female,4,3,Single,6,Yes,No,23,3,4,80,2,24,1,3,3,11,9,12,No
56,Non-Travel,775,Human Resources,33,5,80,12800,10240,Research Director,16,Technical Degree,1,94-9093732,3,Female,1,3,Married,7,Yes,No,24,1,1,80,3,3,6,2,37,10,3,16,Yes
54,Travel_Frequently,329,Research & Development,40,5,31,4960,3968,Research Director,20,Sales,1,77-6999847,1,Female,2,1,Single,5,Yes,No,25,1,1,80,2,35,1,2,6,0,9,6,Yes
33,Travel_Frequently,377,Human Resources,50,5,118,18880,15104,Manager,16,Other,1,20-5373328,2,Female,4,1,Married,5,Yes,No,17,2,3,80,3,0,6,4,16,8,9,14,Yes
30,Non-Travel,369,Human Resources,43,5,100,16000,12800,Manager,16,Human Resources,1,00-0364959,3,Male,1,4,Single,8,Yes,No,16,4,1,80,3,0,3,3,21,0,0,0,Yes
51,Travel_Rarely,138,Research & Development,19,4,100,16000,12800,Human Resources,12,Sales,1,48-8979422,3,Female,2,1,Married,1,Yes,No,25,3,3,80,2,27,3,3,13,13,1,14,No
33,Non-Travel,131,Human Resources,39,2,111,17760,14208,Manager,16,Human Resources,1,06-0658294,4,Female,3,2,Single,3,Yes,No,13,3,1,80,0,2,1,3,27,15,12,7,Yes
19,Non-Travel,730,Sales,8,5,141,22560,18048,Manufacturing Director,16,Life Sciences,1,36-5365356,1,Male,1,1,Single,7,Yes,No,25,3,2,80,2,29,2,4,25,12,8,10,Yes
32,Travel_Rarely,859,Sales,30,5,96,15360,12288,Human Resources,14,Medical,1,07-0011294,1,Female,3,4,Single,6,Yes,No,11,2,2,80,2,24,4,1,36,3,15,4,Yes
47,Travel_Frequently,1101,Human Resources,49,2,44,7040,5632,Healthcare Representative,12,Medical,1,34-7267248,4,Female,2,2,Single,8,Yes,No,11,3,3,80,1,7,3,3,28,14,3,9,No
57,Travel_Rarely,1434,Research & Development,14,5,91,14560,11648,Sales Executive,14,Sales,1,20-4370719,4,Male,1,2,Single,3,Yes,No,12,2,2,80,2,6,1,4,0,12,0,12,Yes
45,Travel_Rarely,885,Research & Development,26,4,112,17920,14336,Manufacturing Director,14,Other,1,35-0428800,4,Male,4,2,Single,4,Yes,No,25,3,3,80,2,13,0,2,38,0,7,14,No
31,Travel_Frequently,357,Research & Development,32,1,51,8160,6528,Laboratory Technician,16,Sales,1,26-4207383,1,Male,2,1,Married,5,Yes,No,24,1,2,80,0,32,2,1,40,11,5,16,Yes
33,Non-Travel,245,Research & Development,16,3,78,12480,9984,Sales Representative,12,Sales,1,86-6454612,4,Male,3,3,Single,5,Yes,No,18,3,1,80,1,28,5,3,38,6,12,3,Yes
33,Non-Travel,1197,Research & Development,25,3,49,7840,6272,Sales Representative,12,Life Sciences,1,93-9641697,3,Female,4,4,Married,3,Yes,No,17,2,2,80,2,37,4,3,16,11,9,13,No
54,Travel_Rarely,1238,Human Resources,1,3,110,17600,14080,Sales Executive,18,Technical Degree,1,83-5564970,3,Male,3,1,Married,8,Yes,No,25,3,4,80,2,0,6,1,30,16,13,15,No
41,Travel_Frequently,1146,Research & Development,37,1,113,18080,14464,Sales Representative,14,Technical Degree,1,62-7775177,4,Female,2,3,Single,6,Yes,No,21,4,3,80,0,34,6,1,40,18,2,6,Yes
38,Travel_Frequently,265,Sales,26,3,83,13280,10624,Sales Representative,16,Life Sciences,1,55-8772233,4,Female,1,2,Married,2,Yes,No,10,2,4,80,1,6,3,2,35,4,4,13,No
31,Travel_Frequently,462,Research & Development,35,3,54,8640,6912,Sales Representative,18,Sales,1,82-9914968,1,Male,3,4,Married,2,Yes,No,19,1,1,80,1,37,5,2,25,16,7,1,Yes
22,Non-Travel,1487,Research & Development,30,1,131,20960,16768,Healthcare Representative,16,Sales,1,48-4797480,1,Female,1,4,Single,8,Yes,No,20,4,4,80,0,24,0,3,22,3,5,14,No
32,Non-Travel,626,Human Resources,48,1,44,7040,5632,Sales Representative,18,Sales,1,03-3529551,2,Male,4,1,Married,3,Yes,No,23,1,3,80,0,2,1,2,32,19,9,15,No
51,Travel_Rarely,182,Sales,3,1,40,6400,5120,Sales Representative,18,Technical Degree,1,10-4507527,1,Male,2,1,Married,0,Yes,No,10,4,3,80,1,32,5,2,4,8,2,10,No
26,Non-Travel,639,Research & Development,46,1,33,5280,4224,Laboratory Technician,18,Technical Degree,1,22-4477104,3,Female,3,3,Single,0,Yes,No,12,4,4,80,1,14,0,1,17,2,12,14,No
55,Travel_Frequently,922,Sales,46,2,123,19680,15744,Sales Executive,16,Life Sciences,1,75-2584424,1,Female,1,4,Married,4,Yes,No,23,4,4,80,0,0,2,3,25,18,6,11,No
26,Travel_Rarely,1137,Research & Development,2,5,32,5120,4096,Sales Executive,18,Medical,1,04-2618648,3,Female,1,1,Married,3,Yes,No,10,3,3,80,2,25,4,4,28,16,1,13,No
19,Travel_Frequently,417,Sales,46,3,92,14720,11776,Healthcare Representative,16,Sales,1,89-9320641,1,Female,3,2,Single,3,Yes,No,21,1,2,80,1,5,3,4,10,13,14,17,Yes
18,Travel_Frequently,1165,Human Resources,24,4,78,12480,9984,Manager,18,Sales,1,28-8995308,3,Female,2,4,Married,1,Yes,No,23,3,4,80,2,11,2,4,13,0,0,3,No
38,Travel_Frequently,611,Human Resources,29,5,125,20000,16000,Research Director,20,Life Sciences,1,19-4780671,3,Female,2,2,Single,2,Yes,No,10,1,4,80,3,36,4,4,20,19,15,14,No
30,Non-Travel,1281,Sales,37,1,92,14720,11776,Sales Representative,12,Life Sciences,1,59-2071507,2,Female,4,4,Married,8,Yes,No,12,4,1,80,1,25,3,3,27,20,12,13,Yes
52,Non-Travel,1257,Human Resources,44,1,45,7200,5760,Laboratory Technician,16,Other,1,83-2229685,3,Female,3,4,Married,6,Yes,No,23,3,3,80,0,10,2,4,28,14,3,1,No
34,Travel_Rarely,1345,Research & Development,11,3,145,23200,18560,Manager,18,Medical,1,83-4839776,1,Male,2,2,Single,0,Yes,No,20,3,1,80,1,13,1,4,9,0,3,16,Yes
28,Travel_Rarely,1134,Sales,17,4,126,20160,16128,Manager,16,Technical Degree,1,08-8275746,1,Male,3,4,Single,2,Yes,No,19,1,3,80,2,27,6,4,36,6,10,12,No
32,Travel_Frequently,239,Research & Development,34,4,133,21280,17024,Manager,16,Human Resources,1,02-8788628,3,Male,4,4,Single,5,Yes,No,10,1,2,80,2,23,0,1,24,19,8,9,No
57,Non-Travel,154,Human Resources,2,2,89,14240,11392,Healthcare Representative,14,Sales,1,79-7884687,2,Female,3,2,Married,8,Yes,No,13,3,2,80,0,10,6,4,4,7,2,16,Yes
58,Travel_Rarely,1303,Sales,27,5,126,20160,16128,Research Director,16,Technical Degree,1,66-4510367,2,Female,2,4,Single,2,Yes,No,14,1,4,80,3,40,1,1,29,18,11,12,No
60,Travel_Rarely,701,Sales,27,3,102,16320,13056,Research Scientist,20,Other,1,09-8253404,1,Female,1,1,Single,7,Yes,No,10,4,1,80,1,1,6,2,16,20,7,15,Yes
26,Non-Travel,1330,Sales,5,2,45,7200,5760,Sales Representative,16,Medical,1,02-8625836,2,Female,3,4,Married,2,Yes,No,23,4,1,80,0,20,4,4,28,16,15,12,Yes
57,Travel_Frequently,394,Sales,40,3,90,14400,11520,Research Director,20,Sales,1,43-2557194,1,Male,2,1,Single,1,Yes,No,23,2,4,80,1,21,1,2,7,5,3,14,Yes
46,Travel_Frequently,1104,Human Resources,42,2,137,21920,17536,Sales Executive,18,Other,1,98-0159919,4,Male,2,3,Single,2,Yes,No,15,3,2,80,0,8,5,1,38,10,11,12,Yes
44,Travel_Rarely,195,Human Resources,14,1,90,14400,11520,Sales Representative,16,Sales,1,98-4008357,2,Female,4,2,Single,4,Yes,No,15,2,3,80,0,23,6,2,6,14,6,12,No
25,Travel_Frequently,682,Human Resources,35,3,91,14560,11648,Sales Executive,16,Sales,1,36-3467087,3,Male,1,2,Married,5,Yes,No,17,4,3,80,2,7,0,1,11,9,3,16,No
36,Travel_Rarely,1006,Research & Development,50,5,118,18880,15104,Research Director,20,Medical,1,23-7953362,1,Female,2,1,Single,2,Yes,No,20,3,3,80,2,0,1,2,25,4,12,7,No
36,Non-Travel,1153,Sales,30,5,48,7680,6144,Research Scientist,18,Technical Degree,1,95-8271394,2,Male,3,3,Married,4,Yes,No,11,1,1,80,2,36,4,1,15,0,2,10,Yes
45,Travel_Rarely,1045,Sales,50,4,50,8000,6400,Sales Executive,14,Human Resources,1,00-3577527,2,Male,1,4,Married,6,Yes,No,16,4,1,80,3,13,6,2,2,1,7,14,No
30,Non-Travel,733,Human Resources,21,3,136,21760,17408,Sales Executive,14,Medical,1,47-3428583,3,Female,4,1,Married,0,Yes,No,21,2,2,80,2,39,3,1,32,16,6,10,No
57,Travel_Frequently,405,Sales,40,1,94,15040,12032,Human Resources,16,Medical,1,54-7628707,2,Male,4,1,Single,7,Yes,No,11,1,2,80,1,0,3,3,20,4,2,5,Yes
34,Travel_Rarely,259,Research & Development,24,5,55,8800,7040,Sales Executive,18,Other,1,44-0069767,2,Male,4,2,Single,2,Yes,No,10,2,1,80,2,26,2,2,16,15,13,4,Yes
41,Travel_Rarely,854,Research & Development,28,3,134,21440,17152,Manager,18,Sales,1,81-4809511,2,Male,1,4,Single,4,Yes,No,16,3,4,80,1,28,4,3,0,7,12,1,No
32,Travel_Rarely,524,Sales,10,5,129,20640,16512,Research Director,16,Life Sciences,1,94-3181339,2,Female,3,4,Single,3,Yes,No,22,2,1,80,3,18,3,2,11,14,13,17,Yes
58,Travel_Frequently,1417,Human Resources,41,2,55,8800,7040,Manufacturing Director,14,Other,1,85-1335477,3,Male,3,3,Single,8,Yes,No,23,4,4,80,0,19,5,1,7,4,15,5,No
24,Travel_Rarely,1231,Human Resources,27,4,44,7040,5632,Healthcare Representative,16,Sales,1,05-7713318,4,Male,3,1,Married,8,Yes,No,15,3,1,80,2,19,3,3,26,6,14,1,Yes
49,Travel_Frequently,902,Research & Development,38,4,39,6240,4992,Healthcare Representative,14,Sales,1,16-1212701,2,Female,1,4,Married,4,Yes,No,13,2,3,80,2,2,6,3,36,5,1,17,No
47,Travel_Frequently,1476,Human Resources,29,3,127,20320,16256,Manufacturing Director,14,Medical,1,10-9144129,1,Male,3,4,Single,1,Yes,No,23,3,2,80,1,3,5,4,10,9,10,15,Yes
34,Non-Travel,177,Human Resources,39,3,91,14560,11648,Manager,18,Other,1,83-7527586,3,Female,1,3,Single,2,Yes,No,22,3,3,80,2,8,1,1,27,11,14,10,Yes
33,Non-Travel,651,Human Resources,18,5,69,11040,8832,Sales Executive,18,Life Sciences,1,83-9947503,2,Male,2,2,Married,8,Yes,No,24,3,1,80,2,7,1,4,23,15,10,4,Yes
32,Travel_Rarely,669,Human Resources,38,5,98,15680,12544,Manufacturing Director,14,Life Sciences,1,74-7329875,4,Male,4,4,Married,4,Yes,No,25,3,4,80,2,25,4,2,26,18,8,8,No
60,Non-Travel,161,Sales,25,3,82,13120,10496,Sales Representative,16,Life Sciences,1,84-6131092,3,Male,3,2,Single,3,Yes,No,19,3,2,80,1,6,0,1,30,6,10,7,Yes
59,Non-Travel,608,Human Resources,38,4,53,8480,6784,Research Scientist,18,Sales,1,07-4667684,2,Female,3,3,Married,8,Yes,No,22,2,4,80,2,16,6,3,0,13,2,12,No
34,Non-Travel,689,Research & Development,40,3,52,8320,6656,Sales Executive,14,Medical,1,01-1422288,4,Male,2,1,Married,3,Yes,No,21,3,4,80,1,33,0,2,25,18,3,10,No
38,Travel_Rarely,1091,Sales,18,1,118,18880,15104,Sales Representative,16,Sales,1,72-8702416,2,Female,2,2,Single,8,Yes,No,25,2,4,80,1,20,2,2,38,17,4,9,No
19,Non-Travel,1239,Sales,17,1,116,18560,14848,Human Resources,14,Technical Degree,1,22-0518205,3,Male,3,3,Single,7,Yes,No,25,3,3,80,0,28,1,1,4,1,9,5,Yes
46,Travel_Rarely,740,Sales,50,3,128,20480,16384,Manufacturing Director,16,Technical Degree,1,78-2199460,2,Male,1,1,Single,3,Yes,No,21,3,3,80,1,26,0,1,14,8,7,16,No
29,Travel_Frequently,645,Research & Development,28,1,40,6400,5120,Laboratory Technician,14,Technical Degree,1,38-9354353,1,Female,4,1,Married,6,Yes,No,24,3,1,80,1,30,0,1,23,7,0,0,Yes
59,Travel_Rarely,338,Human Resources,40,2,73,11680,9344,Sales Executive,14,Human Resources,1,12-6218952,2,Male,2,2,Single,6,Yes,No,19,3,1,80,1,36,5,2,3,18,4,14,No
57,Non-Travel,1345,Research & Development,31,4,87,13920,11136,Sales Executive,14,Technical Degree,1,46-8184418,2,Female,3,3,Married,5,Yes,No,10,3,4,80,2,9,2,2,15,18,0,0,Yes
19,Non-Travel,398,Research & Development,19,4,86,13760,11008,Sales Representative,18,Other,1,28-5967600,3,Male,4,3,Single,6,Yes,No,13,3,2,80,3,2,2,1,9,20,9,4,No
51,Travel_Rarely,202,Human Resources,3,2,120,19200,15360,Sales Executive,18,Sales,1,79-9659204,2,Male,2,3,Single,6,Yes,No,16,3,1,80,0,2,6,2,8,6,4,10,No
34,Travel_Rarely,704,Research & Development,27,3,63,10080,8064,Laboratory Technician,18,Medical,1,93-5444563,2,Female,1,1,Single,7,Yes,No,21,3,3,80,1,15,2,2,34,16,14,0,No
24,Travel_Frequently,1364,Sales,5,4,74,11840,9472,Research Director,16,Other,1,75-9918523,3,Male,1,2,Single,2,Yes,No,13,3,3,80,2,19,4,1,6,20,3,4,No
37,Travel_Rarely,816,Human Resources,15,2,104,16640,13312,Manager,16,Sales,1,56-3308180,4,Male,4,2,Single,0,Yes,No,18,3,4,80,1,2,1,3,38,12,9,8,No
53,Travel_Rarely,336,Research & Development,10,5,145,23200,18560,Manager,14,Medical,1,40-6596894,4,Female,3,2,Single,5,Yes,No,15,2,3,80,2,37,6,1,13,11,5,16,No
49,Travel_Rarely,321,Human Resources,2,3,45,7200,5760,Healthcare Representative,14,Medical,1,65-9179164,4,Male,2,4,Married,0,Yes,No,17,2,2,80,2,13,2,3,31,7,8,6,Yes
49,Non-Travel,1192,Sales,47,3,112,17920,14336,Research Director,20,Life Sciences,1,30-6907397,4,Male,3,4,Married,6,Yes,No,15,3,1,80,2,5,0,4,8,16,10,10,No
